,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Ggt7,4.13e-05,6.64e-07,5.089999999999998e-177,4.269999999999999e-146,0.5557856179999999,0.408314632,2.8764495360000004,2.7289785810000002
Zfp580,0.0052326790000000005,0.081769441,0.8680736170000001,0.530359957,-0.952006955,0.0,0.0,0.0
Cfl1,9.070000000000001e-15,6.01e-16,4.7199999999999996e-30,2.68e-24,-0.41606526200000005,-0.439158779,-0.54731022,-0.5704037160000001
Glrx,0.00047510300000000005,3.8600000000000003e-29,5.749999999999999e-73,0.26476165100000004,0.405490312,-1.140326585,1.69447589,0.0
Stk26,0.0018682710000000001,0.011531481000000001,0.064705361,0.30638335699999997,-0.174406285,-0.146912307,0.0,0.0
Trpa1,1.0,0.514484241,0.036282225,0.015075713000000001,0.0,0.0,3.490645244,4.575536868
Wnt16,,,,,0.0,0.0,0.0,0.0
Agap3,0.012792958,0.187321656,8.31e-06,1.21e-06,0.176668993,0.0,-0.272566879,-0.343593892
Ptprn,0.264422249,0.8272808420000001,0.022922537000000003,0.722671959,0.0,0.0,-1.517885981,0.0
Btk,0.24425976600000002,1.0,0.634360749,0.489194069,0.0,0.0,0.0,0.0
Lrrk2,0.014611151000000001,0.135692368,1.8399999999999998e-07,2.51e-07,-3.5225258680000002,0.0,2.478250035,6.629320858
Gpx6,,,,,0.0,0.0,0.0,0.0
Ripk3,0.825111612,0.554260865,0.34436788399999996,0.066078188,0.0,0.0,0.0,0.0
