compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
(S)-dihydroorotate,1215964.959,1229477.199,858830.343,664787.304,1000,388792.209,162598.746,4306250.616,1812086.169,1840205.721,1941558.201,598488.024,676699.485,98011.536,510565.947
N-Carbamoyl-L-aspartate,1864886.427,2042504.826,2068984.533,1604688.186,611324.445,587755.647,671769.615,25965738.16,27953409.02,26781713.43,25783337.98,17583499.03,19572977.06,18811199.58,17927723.13
5-Phospho-beta-D-ribosylamine,426127.332,514400.094,517354.224,563219.715,346655.634,394825.98,400298.097,211629.273,120052.485,114800.547,182014.257,794107.101,801415.434,606522.624,752371.107
(R)-2-hydroxy-4-methylpentanoate,1788954.135,1369671.216,1504217.562,1180871.856,842541.987,953950.251,838463.367,690576.834,1114744.47,700059.108,591444.747,390893.988,474417.405,454985.061,424171.659
4-nitrophenolate,2017704.957,1381906.92,2776668.927,1307755.383,1452494.634,1368489.873,2559280.338,1363633.032,1673178.42,2161690.929,1250520.603,1397354.502,1406211.711,1270756.905,1233787.05
2-methylglutaconic acid,7587462.864,6968049.534,6798511.374,6714430.932,5681853.135,8221904.652,4325698.287,5661585.48,3092240.229,1890341.625,3235518.186,307477.974,430689.096,392794.005,338732.832
adipic acid,8325033.864,6992323.215,8761546.557,6843762.24,5689113.087,5078779.419,6823866.369,4359500.559,7473177.945,4593338.622,4211733.198,3575186.151,4667271.036,3814566.006,3122528.19
lysine,71605885.38,278839.269,73289427.49,63714101.84,48101822.49,60851232.84,46854706.37,36320288.79,26783248.09,18465174.7,25953518.25,42527493.71,42631114.22,37416427.24,49212802.01
2-aminomuconate,222001.188,156193.713,264431.781,157364.532,953468.802,822327.297,603962.343,278948.07,389406.138,243462.831,255546.117,159415.989,175780.314,435283.404,137569.266
2-oxoadipate,139168.368,173716.611,168152.979,90969.159,534742.596,583115.376,568271.982,332931.753,457740.483,412830.18,404925.855,215090.532,154562.79,206839.239,178844.13
erythro-5-hydroxy-L-lysinium,274373.505,174676.956,330434.811,290706.555,174870.564,226930.326,187842.99,139587.213,83518.674,49294.998,110186.604,149504.901,188573.385,153616.281,219101.793
arginine,262551311.8,38541863.85,264198350.7,227397959.1,164103821,213647524.6,172847502.7,174569470.7,131010413.6,91324175.67,128212174.3,183945342.9,179800780.9,156620458.2,207563280.5
L-Fucose 1-phosphate,1030073.679,1413849.582,1277321.898,1095098.061,2094673.482,1770008.622,1443993.357,924086.778,1030403.682,1050994.566,1108321.551,777501.117,759169.212,856955.547,780244.278
